                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5629,                 4.1677,                 1.1168,                      0,                      0,                      0,                      0,                 2.2305,                 4.2737,                  1.334,                  3e-05,                  3e-05,                  3e-05
                      2,                 1.5402,                 4.1336,                 1.1069,                0.00011,                0.01232,                  8e-05,                  3e-05,                 2.2599,                 4.1598,                 1.2531,             6.9307e-05,             6.9307e-05,             6.9307e-05
                      3,                 1.3934,                  3.775,                 1.0128,                0.03206,                0.81366,                0.10105,                0.03594,                  1.642,                  3.912,                0.97962,             0.00010782,             0.00010782,             0.00010782
                      4,                 1.3169,                 3.4499,                0.96925,                0.01981,                0.85008,                0.10002,                0.02149,                 1.6007,                 4.0027,                 1.0096,             0.00014554,             0.00014554,             0.00014554
                      5,                 1.3304,                 3.1075,                0.98125,                0.01943,                0.96766,                0.17986,                0.06568,                 1.2921,                 3.8934,                0.93124,             0.00018248,             0.00018248,             0.00018248
                      6,                 1.3365,                 2.8441,                0.97844,                0.01852,                0.95929,                0.17632,                0.05355,                  1.498,                 3.9143,                0.99939,             0.00021862,             0.00021862,             0.00021862
                      7,                 1.3608,                 2.6702,                 1.0059,                0.01987,                0.97037,                0.19713,                0.09015,                 1.2808,                 3.7282,                 0.9109,             0.00025396,             0.00025396,             0.00025396
                      8,                 1.3097,                 2.4321,                0.98381,                0.02237,                0.97695,                0.18868,                0.07693,                 1.3634,                 3.7262,                0.92992,             0.00028852,             0.00028852,             0.00028852
                      9,                 1.2682,                 2.3219,                0.97287,                0.02454,                0.96616,                0.19383,                0.06325,                 1.3901,                 3.7424,                0.95555,             0.00032228,             0.00032228,             0.00032228
                     10,                 1.3216,                 2.2311,                0.96369,                0.02855,                0.98439,                0.21136,                0.09673,                 1.2684,                 3.5975,                 0.9164,             0.00035525,             0.00035525,             0.00035525
                     11,                 1.2888,                 2.0822,                0.97285,                0.02799,                0.98766,                0.22608,                0.13516,                 1.1818,                 3.5063,                0.89026,             0.00038743,             0.00038743,             0.00038743
                     12,                 1.2519,                 1.9744,                 0.9927,                0.02403,                0.98278,                 0.2422,                0.14664,                 1.1867,                 3.4062,                0.89238,             0.00041882,             0.00041882,             0.00041882
                     13,                 1.2308,                 1.9417,                0.96444,                0.02703,                 0.9951,                0.27223,                0.15598,                 1.2372,                 3.4344,                0.90862,             0.00044941,             0.00044941,             0.00044941
                     14,                 1.2241,                 1.8725,                0.98608,                0.02582,                      1,                0.30085,                0.18841,                 1.1986,                 3.1836,                0.90758,             0.00047921,             0.00047921,             0.00047921
                     15,                 1.2291,                 1.7881,                0.96941,                0.02417,                      1,                0.36139,                 0.2145,                  1.154,                 3.1281,                0.90742,             0.00050823,             0.00050823,             0.00050823
